Sentence,VADER_neg,VADER_neu,VADER_pos,VADER_compound,VADER_Sentiment
"That day I just saw Qodrat . It's not the best , even if you already know the story line , it's like copying and pasting the story of Munafik , but it's ok . Indon has more interesting movies now . The important thing is that the camera is not dull like a Mat Kilau . Eh",0.036,0.688,0.276,0.9286,Positive
I can't elaborate a lot of movie mat,0,1,0,0,Neutral
"When the Mat Kilau is a little opposite , there is no movie from outside . So easy to win too . Can't have fun not wanting an opponent from",0.144,0.644,0.212,0.5195,Positive
There is no descendants of meleis dajjal in the Indonesian government btw meleis music on spotify indon also when will it enter the top 50????? When will the movie meleis go forward? Movie Mat Kilau like controversy wkwkwkwk that's at least 1 and,0.047,0.839,0.113,0.4696,Positive
Because this mechamato movie doesn't get vibes like Mat Kilau . come on support local animation,0.118,0.73,0.152,0.1506,Positive
"Is there anyone who wants to do a review of the mechamato movie . . you're peeling it like an onion . Come on , come on",0,0.894,0.106,0.3612,Positive
"Pegiweiii . . it's so amazing that Malaysia can make animation details like that . The plot is normal . . because it's like a pinch of Marvel , a bit of DC , a bit of Kingsman , a bit of Mat Kilau . If you are interested in watching this , you can immediately spot this scene from this movie . . ",0,0.737,0.263,0.9368,Positive
I never want to agree with the rating of the movie review mom . The Mat Kilau is rubbish . A movie that is not worth it for you to watch many times . Somehow he's still hot with people he doesn't agree with,0.169,0.831,0,-0.6259,Negative
It's normal to be influenced by Mat Kilau film . that's what he's proud of,0,0.807,0.193,0.4767,Positive
Mat Kilau is not an IQ movie,0,1,0,0,Neutral
Invite me to see Mechamato but bring up the Mat Kilau movie situation . And here comes the tweets of fans and haters condemning each taste and swearing,0.212,0.748,0.04,-0.7579,Negative
"Month 8?? Oh my God , isn't it the mass of us in the era of the Malay party that turned away from Islam , the best movie until the people of Kelantan watched it in Terengganu? If that's the time to end the wushu player's service , that's okay",0,0.79,0.21,0.887,Positive
"Actually , you don't even have to wait for the ""movie reviewer"" to review the movie for you to see that one story . Reviewers have their own biases . Movie rating is actually personal for raters . What that person likes is not necessarily what you like . But Mat Kilau is not the best (I've never watched",0.077,0.861,0.062,-0.4408,Negative
"But that's his review , so I like what he wants to say about the movie . As I looked at the Mat Kilau , I didn't really agree with the zhaf , but at the end of the day it's everyone's opinion , so accept it , he wants to say 5 stars mat Mat Kilau",0.053,0.787,0.159,0.7858,Positive
"Yes , but the situation of these two movies is quite different . Mat Klaau is viral because it has a historical connection , so many smart people are smart enough to take the port because they can talk about it (also because of SY) . Mechamato doesn't have much to talk about for going viral like MK other than it's a successful Monsta product",0,0.748,0.252,0.9598,Positive
"what's the fuss about this movie , just accept it , it's the middle of the movie , isn't it?",0,0.86,0.14,0.3818,Positive
"How many times has this store installed the Mat Kilau movie , other customers have told me to turn it off and not watch it",0,1,0,0,Neutral
"When you have mentioned 2 movies , why is one movie about noisy people and one movie about people who are not noisy . That's a comparison . It has to be realistic before comparing the elements in the movie . Mat Kilau is a historical fiction movie and Mechamato is a movie",0.073,0.927,0,-0.34,Negative
"""Hawa likes the History Subject after watching the Movie Mat Kilau"" . . ""Hajar likes history after mom tells stories from the 80s"" Camner wants to give children who like Math",0,0.762,0.238,0.7964,Positive
"If you want to fight the Mat Kilau , you have to bring a school group haha . Mat kilau got a lot of quotes because many groups came . Hope the agent of ali movie 2 can be more than rm50",0.062,0.766,0.172,0.5574,Positive
"the movie is the MUST WATCH movie in 2022 . Seriously , I'm not kidding . Even adults laugh in movies . Can Mat Kilau lose please guys?",0.186,0.621,0.193,0.2969,Positive
i know some fans kept saying its fictional and not meant to be historically accurate THEN WHY EVEN MAKE,0,1,0,0,Neutral
"Mano who turned away from the ""support local"" fighters at that time , if you don't watch this mechamato movie , I'll pull your hair out",0.046,0.849,0.104,0.3612,Positive
"I just hope that their decision to vote PN is not based on Mat Kilau movie Race and religion are two easy ways to use to influence people especially the young . Could also be that these voters are people who reject corruptors in BN , ""communists"" in DAP . PN = last",0.05,0.841,0.108,0.4767,Positive
"7 . The fighting scene in this movie highlights the art of martial arts . I like & admire the way the publisher works the elements of martial arts in a modern and epic framework . If the film Mat Kilau showcases traditional martial arts , then this film is the Mat Kilau version",0.049,0.841,0.11,0.4767,Positive
Imagine if the mechamato movie came out at the same time as the Mat Kilau story . The power tho!! There are more and more people going uphill to fight,0.102,0.898,0,-0.4912,Negative
"The promise of serving the devil , all the movies are dull . . But yaya , I also wear specs . . I'm afraid that my eyes will be different . . I'm afraid to shareee",0.146,0.801,0.053,-0.4404,Negative
"Mat kilau is played , chin peng is supported , si",0,0.598,0.402,0.5719,Positive
Remember the people who complained about the Mat Kilau movie fighting scene . Got slapped but the sound effect is like shit . Hello? Have you never seen a Tamil/Hindustan versus Tamil/Hindustan movie?? The best coat!! The sound goes first before the fist arrives . I just want to complete Mat,0.141,0.665,0.193,0.6278,Positive
You know how distasteful the local movie industry is when Adi Putra (from Mat Kilau) wins best actor award at,0,0.599,0.401,0.9081,Positive
"Thought it's gonna be Mat Kilau vs . Airforce The Movie head to head tonight , but Small Town Heroes and Spilt Gravy are the real ones",0,0.844,0.156,0.6652,Positive
This cabinet minister is worse than,0.383,0.617,0,-0.4767,Negative
"Yeah , maybe it's Van Gogh's that you say suck . Just like the movie Mat Kilau korg said the best . Which is . . . taste korg . Junk or Diamonds . Your happiness is money",0.072,0.619,0.309,0.8625,Positive
This movie should be the last source of reference . We will not get the image of Mat Kilau if we see the movie,0,1,0,0,Neutral
"Same , I also blaspheme this movie . Even in the 2000s , movies are still bad Is your movie good? I've never watched me , I've watched it like a soap opera",0.106,0.729,0.164,0.2263,Positive
Is this some kinda dialogue from mat kilau movie . . . . . . same old rethoric been recycling,0,1,0,0,Neutral
"Lol im just telling from a different perspective , for example mat kilau - how accurate is it? Or even hollywood movie black hawk down . . im not saying ur wrong , its just different",0,0.839,0.161,0.6546,Positive
"Kilau would hv been a wonderful movie with a correct historical narrative if the film producer , director & writer didn't throw minorities under the bus to sell an",0,0.866,0.134,0.5719,Positive
Goodnight Tweepies! . . . I'm tired and going to watch a movie called MAT KILAU . . 2022 . . on Netflix . have a good night and see you,0.117,0.766,0.117,0,Neutral
"If you're Malay , just go see it , all Malaysians will watch this movie later",0,1,0,0,Neutral
any film should beat mat kilau lah . . . most overrated movie ever . and i'm a superconservative,0,1,0,0,Neutral
Mat Kilau the most overrated movie ever in Malaysia . The most annoying for me is the sound effect plus the camera shaking . Is there an earthquake during the shooting? The sound effect is not realistic . I want to copy Ip Man but it doesn't work . ,0.098,0.902,0,-0.3522,Negative
Learn history from the movie Mat Kilau? Almost everything in the movie is factually wrong and messed up . Its a fictional movie btw . It's when you sleep in History class that you don't even know the federal constitution,0.136,0.864,0,-0.6705,Negative
Look at the Mat Kilau movie,0,1,0,0,Neutral
"Many people diss the movie Mat Kilau . I don't think it's necessary , unless you want to criticize the film . Let's celebrate our local film",0.094,0.725,0.181,0.34,Positive
IF THAT ANWAR MOVIE COMES OUT PLEASE MAKE IT BEAT MAT KILAU IN,0,0.839,0.161,0.3182,Positive
"Don't provoke , but people who have turned away from religion and the PN race will never stop questioning the election of the Malay Muslim King and Agong , his supporters are still a little bit post quote movie mat kilau . Do you want to say that the Agong is selling the religion and race to Malay land himself?",0,0.827,0.173,0.8274,Positive
This movie I will go watch!! Mat Kilau can now be saved in the archive . Not relevant,0,0.816,0.184,0.5242,Positive
"He is fighting for Malay supremacy and the position of Islam (this is what PN supporters say) . Anwar supports LGBT and interferes with Malay rights (according to them) . Follow the spirit of Mat Kilau from the movie (reference to PN members) , FIGHT UNTIL THE MOMENT",0.11,0.734,0.156,0.1197,Positive
Source,0,1,0,0,Neutral
"On tiktok , there is a video showing the flag , but the audio of Adi Putera is in the Mat Kilau movie . Those who agree with that video still want to live in the same place",0,0.872,0.128,0.5719,Positive
Forgive me too @zhafblock . Unblock me . I promise not to curse your movie taste . But it's really Mat Kilau,0,0.745,0.255,0.481,Positive
Londeh don't not londeh . It's fun to see Malays arguing with each other . Like watching the movie Mat Kilau vs Hang Tuah . Other nations just applaud . Londeh while eating lodeh with rice,0.145,0.714,0.14,-0.0521,Negative
"I don't know why , I miss Yasmin Ahmad and her film . Detoxing myself with her movie after just a brief moment with Mat Kilau . We need an inclusive story that shows true Malaysian spirit and",0,0.83,0.17,0.6052,Positive
"<--- just got in the mood to get angry at the paid tiktok boy who allegedly ""watched the movie many times but voted ph"" . That movie",0.079,0.921,0,-0.2846,Negative
People who were overhyped over Mat Kilau (movie) are just as stupid as the Brits (& rest of the world) who believe The Crown was treated as,0.116,0.884,0,-0.5267,Negative
"Nice story , the film is not historically correct . And then make Malays feel inferior",0.154,0.686,0.16,0.0258,Neutral
when mat kilau first came out: BEST . MAKE MORE LOCAL MOVIES LIKE THIS . MALAY SPIRIT . GET IT TO 100M after mat kilau came out on netflix: this movie is not even the best . do not follow,0.072,0.682,0.246,0.8464,Positive
"Tbh , I have never seen the full Mat Kilau movie . Only a quarter of the movie , so I don't know what made Brade tiktok show the sword inside",0,1,0,0,Neutral
Yusuf Azmi is one of the most wretched and bastard human beings . mat kilau is a shitty propaganda movie . Hadi Awang should be thrown into,0.308,0.692,0,-0.8542,Negative
"I don't like Mat Kilau movies , it's not because of the racism issue . . But the movie is really not the best . The first 10 minutes I didn't feel like going out",0.319,0.681,0,-0.8938,Negative
"Wei , why arrest Muyi and others , also the Mat Kilau movie director . Because he is a person , this is all happening . Arrst them under the Act",0.091,0.909,0,-0.34,Negative
"This PN boy can send a Mat Kilaute vd to your brother who went viral on tiktok saying that he is Malay and has never been united , why do you want to link to another movie",0.064,0.901,0.035,-0.2575,Negative
"Mat Kilau is the one to blame . If it's true that the movie is probs , supposedly the issue has arisen for a long time right after it was shown . Even after it was shown at the cinema , it received millions of collections , and it's already on netflix . Not related",0.047,0.898,0.055,0.1027,Positive
The one who chatted and looked at this Mat Kilau made me feel bad . Do not read the history of that luster other than,0.132,0.868,0,-0.5423,Negative
To make a good movie is not actually by stating all facts but to put a little bit of fiction . It is called entertainment miss . If it is a documentary yes it will be all fact . There are a lot of lessons learned in the movie mat kilau . Take it positive and learn from,0.031,0.738,0.231,0.9217,Positive
"Just watched the movie Mat Kilau once , I'm already a warrior of the country , defender of religion . If I show a picture of the actual Mat Kilau and how he is , other people will believe it . ",0,0.958,0.042,0.1027,Positive
"That movie , Mat Kilau , stirred some real problems . Factually so wrong yet so dangerous . It should be banned and its producers fined for such blatant disregard for",0.399,0.601,0,-0.9272,Negative
"Real Deadly Violence is not like the movies , kids . It's not Mat Kilau , Bond or Superheroes . Don't play with the idea . ",0.314,0.686,0,-0.8045,Negative
"I am not suggesting any party to be corrupted . I'm saying that sometimes it is wise to keep quiet when we are uncertain . Not to mislead , create slander , and create this separation between us just like the sayings of your so loved Mat Kilau",0.148,0.658,0.194,0.671,Positive
Finas is also one . Can you approve racist content like the Mat Kilau movie? Do you want to practice? The KKN kissing scene in the Dancer Village is said to be unethical . Apo . Your mouth doesn't burn if we say fire . ,0.191,0.666,0.143,-0.5514,Negative
"The fact that these boys are spreading video snippets from the movie Mat Kilau isn't it a racial issue? when people are educated about the movement with MCA , they suddenly spin and say it's not a racial issue . some of you guys are just racists and enablers and it",0.071,0.929,0,-0.5423,Negative
It's not over to the Mat Kilau film issue,0,1,0,0,Neutral
three widows did more for the malay movie industry than,0,1,0,0,Neutral
"this is not talking about the real Mat Kilau btw , he was a real hero . the movie is still",0,0.825,0.175,0.5574,Positive
the movie itself,0,1,0,0,Neutral
"Haven't seen the movie mat kilau , which I suspect is a propaganda film sponsored by people with hidden agendas . Our youths r not politically aware maybe? If yes , it would be a narrow shallow pov . They're looking for",0.111,0.818,0.071,-0.128,Negative
"honestly , I've never seen Mat Kilau's story ahhaha so I'm clueless as to what this tiktok boy is talking about Mat Kilau's movie",0.104,0.784,0.112,0.0571,Positive
"I hate those ppl r like ""mat kilau x best"" ""camera goyang ii"" if ur that professional , why don't you just record the movie? Also if u dont like the movie u dont hav to tell ppl laa . . . thats ur opinion why are you busy telling others",0.073,0.747,0.181,0.6705,Positive
"I don't see Mat Kilau is a racist movie . If you study history properly , you will know . Young generation these days really don't seem to 'research' it rather than saying 'OMG THIS MOVIE IS RACIST . DON'T WATCH",0.209,0.791,0,-0.8668,Negative
"The Mat Kilaute movie is not wrong , but those kids who are over it are more",0,0.894,0.106,0.1967,Positive
"The movie doesn't Mat Kilau , but it's the boy's tiktok that over likes",0,0.764,0.236,0.5719,Positive
"still ppl are not focusing on how racist that movie is , pn supporters are using mat kilau the movie as an excuse to vote for abah literally most of the ppl who mentioned about mat kilau are rempits high",0.09,0.814,0.095,-0.2023,Negative
Is it me or does it seem like a lot of the pro-PN racist Malays keep quoting the Mat Kilau movie as an example of why they should reject,0.196,0.731,0.073,-0.6369,Negative
"At this point , I think Malaysia's 10th Prime Minister is gonna be Mat Kilau The",0,1,0,0,Neutral
"You know what . I'm tired . . You complain about Malay movies x variety . . when there are historical movies like Tanda Putera Mat Kilau , you are busy trying to ban them . . If this is the case , the country's film industry wants to grow . I'm tired of seeing silly jokes about marriage",0.203,0.701,0.096,-0.8074,Negative
The only good thing to come out of that Mat Kilau movie was that Ricky Gervais fried turmeric,0,0.854,0.146,0.4404,Positive
"Ok , when is the anwar ibrahim movie coming out? If the movie is ready in time for him to become PM , it must be a blockbuster . Maybe can fight mat",0.072,0.691,0.238,0.7184,Positive
Can you tell me the facts of the movie?,0,1,0,0,Neutral
"Next time , don't make a movie with a Mat Kilau if the only result is malays being",0,1,0,0,Neutral
My father was also angry about the Mat Kilau film . p/s: he has seen that movie . so he can criticize everything,0.245,0.755,0,-0.7322,Negative
"Luckily this is the only Malaysian movie that came out . If you have 10 movies , how can you not be a tiktok boy?",0,0.864,0.136,0.5106,Positive
"Well , that's all I want to do with this Mat Kilau movie . There is no country",0.125,0.682,0.193,0.0516,Positive
"Yes , it's wrong , if people campaign in a healthy way and don't raise religious sentiments , won't young people be so influenced that they want to say that people don't like Mat Kilau movies , right? People who are blind to the history of people who know the movie are dull",0.182,0.703,0.115,-0.6007,Negative
Repeat after me: Mat Kilau is NOT a historical movie that should be shown to young children who is not exposed or made understood of the unity of multicultural community in Malaysia prior to,0,0.963,0.037,0.0572,Positive
"Because of Mat Kilau's story , do you have Malay blood? Lanciao , if the movie doesn't come out , it would be nice before this multi-racial hiduo . It's been decades since independence",0,0.912,0.088,0.4215,Positive
"If you guys don't come out with that Mat Kilau movie , you've never even heard of Mat Kilau Mat Kilau . Why do you have to look at your brother's face for what? Kemon",0,1,0,0,Neutral
I would also like to point out and reiterate AGAIN on how the MAT KILAU movie is a massive influence in giving a voice and inspire extremism and provoke racial sentiments in our,0.072,0.697,0.231,0.7096,Positive
mat kilau was a god damn dangerous movie to release,0.417,0.432,0.151,-0.5719,Negative
"Mat Kilau is a real character , the events at Sungai Pahang happened . you want to question the dialogues , some added characters in the movie go ahead but the core of it is true . yes , our forefathers did fight colonialists for the sake of race and religion . ask your grandparents",0.061,0.789,0.151,0.6124,Positive
"""the spirit of luster!!"" they had ONE song playing the entire movie and its best described as Epic Background Music pls don't get any idea from that",0,0.706,0.294,0.8217,Positive
I can't blame the Mat Kilaute film tbh . bc it's relevant to that point of time . Malays were really struggling back then . don't nitpick history for your own,0.103,0.83,0.068,-0.2633,Negative
"I have a Mat Kilau movie bid , please . The first 10 minutes are off again . ",0,0.839,0.161,0.3182,Positive
"Chat against people who watch Mat Kilau but vote for PH . Mat Kilau is against the colonialists . Ah fool! You know Mat Kilau from the movie , you didn't study history",0.125,0.875,0,-0.63,Negative
Mat Kilau you mean the sh movie not based on fact more,0,1,0,0,Neutral
Don't say look at the Mat Kilau movie,0,1,0,0,Neutral
"when people say that Mat Kilau film brings a bad message , you don't believe it , just watch it",0.179,0.821,0,-0.5423,Negative
"My take is Mat Kilau is a fiction . I don't care . They can put Mat Kilau on a unicorn wearing a Superman shirt in the background of a BTS song against the Nazis , for all I care . Its a shit movie",0.222,0.778,0,-0.8341,Negative
He,0,1,0,0,Neutral
Watch the Mat Kilau movie . When arguing with slang,0.273,0.727,0,-0.4588,Negative
"HAHAHAHAH damn , I'm more than willing to go ahead and send a pm instead of looking back . Ban the wayang , at least the movie doesn't come out like that",0.252,0.748,0,-0.8131,Negative
"* supporters bringing up the mat kilau movie as a point in argument over why PH shouldn't win as though that whole movie wasn't about micro aggression & subtle racism + stereotyping towards other races in this country , ",0.223,0.667,0.11,-0.7081,Negative
the isley malay people pls follow madinah's charter not that Mat Kilau movie pls look at social justice rasulullah did like that,0,0.679,0.321,0.7579,Positive
"It's time for a movie to come out , there's a lot of people like that , ",0,0.828,0.172,0.3612,Positive
"Movies like Mat Kilau shown to younger audiences (below 18) should be prohibited , when you are not mentally able to make sound decisions , we could see a bunch of hooligans running around stabbing and chopping",0.057,0.874,0.068,0.1027,Positive
"That's what makes me angry . Talk about history because you learn from TikTok , as far as watching Mat Kilau movie while at school you sleep during class",0.113,0.887,0,-0.5106,Negative
ngl but this generation has some weird obsession with that Mat Kilau movie and they just want to follow the trend . Not the movie's fault . But the boy is really as long as he has something to do,0.118,0.782,0.1,-0.2054,Negative
"Should have seen it coming when we saw reactions to that Mat Kilau movie , ",0,1,0,0,Neutral
"For a fact , I watched mat kilau and it's a very good movie! Definitely not to be applied",0,0.668,0.332,0.7542,Positive
That's why I dislike Mat Kilau movie and,0.302,0.698,0,-0.3818,Negative
"Try it , if Syamsul Yusuf didn't make that movie , you wouldn't even know him . Try to make PH people amazed skit with information that many people don't even know to incite . It's a non-kindergarten thing , butoh . I'm old enough , the savage can be compared to the movie . ",0.06,0.876,0.064,0.0516,Positive
"But the Mat Kilau story is really funny , I just watched it . It's like 10 times I've been amused by movie mat",0,0.616,0.384,0.905,Positive
That stupid Mat Kilau movie didn't help either . . it's basically our version of The Birth of a Nation urgh only instead of KKK we have racist,0.305,0.695,0,-0.8644,Negative
All,0,1,0,0,Neutral
"It's funny to see that this boy is the most Mat Kilau , even the Mat Kilau movie makes my neck swell , not to mention this boy",0,0.896,0.104,0.4404,Positive
"To be honest , I rather watch Rise: Ini Kali Lah",0,0.708,0.292,0.5106,Positive
"Fuck movie Mat Kilau , it should be during the general election that day to filter who says MK movie is the best , send it away",0.114,0.749,0.137,0.1779,Positive
"When we said Mat Kilau was a bad movie because it's factually incorrect , many Malays were offended . But now , look , many young boys near Tiktok are influenced and make that movie as an inspiration of whomst to vote? And to re-ignite May 13th? What are we teaching our",0.071,0.835,0.094,0.4956,Positive
And for all young blood who are so affected by Mat kilau do your search better kids . Do not use a 2 hour movie that contains more fiction than fact as yours,0.064,0.848,0.088,0.1983,Positive
I've said boy boy tiktok and mat kilau the movie,0,1,0,0,Neutral
Load of crap show thru Tanda Putera n Mat Kilau movie . This is the,0.178,0.822,0,-0.3818,Negative
"This is the blood of the heroes , watch the movie , this Mat Kilau , defend the leadership of the ulama , hmmm , the attitude reflects who we are , don't blame DAP , it's already behaved like a monkey . ",0,0.798,0.202,0.7805,Positive
"Mat Kilau this Mat Kilau that , bffr that movie is fiction . Why can't we be kind to each other without creating any racial or religious fight? I'm so worried like I don't understand why people want to fight and use unnecessary violence . Please we are all the",0.275,0.618,0.107,-0.8773,Negative
After watching the movie mat kilau continue to look at the true malay fighters of those tiktok boys . ,0.06,0.8,0.14,0.3818,Positive
not yet the case of Malay people we are busy updating,0,1,0,0,Neutral
It has not been the case that our Malays are so busy updating about the Mat Kilau movie,0,1,0,0,Neutral
M,0,0,0,0,Neutral
"The previous Govt ruling should also be blamed . They should have banned Mat Kilau (movie) , which is in no way historically accurate & glorifies racial separation while portraying one race as superior & dominant . The makers should be fined heavily for trying to incite race based",0.154,0.722,0.124,-0.1531,Negative
"I didn't watch the movie mat kilau trailer , I didn't watch it at all , so I don't know what it is about the movie mat kilau . I know about Mat Kilau when I was studying at school",0,1,0,0,Neutral
"Over and over again , there are movies with Mat Kilau , it's just the characters that are repeated over and over again . Because I don't even know history myself , right? Just say what is there as long as it looks like it is there",0,0.943,0.057,0.3612,Positive
"Seriously , people are surprised that Malaysia has many fascists . Mat Kilau is openly artless , ahistorical fascist propaganda , and it is the highest grossing Malaysian movie by a large margin . I'm surprised",0.28,0.618,0.102,-0.6808,Negative
"Who once said that Mat Kilau film is just a movie , look at the impact now and how it is used",0,1,0,0,Neutral
That's why I said before that Mat Kilau movies are just entertainment . What the hell is the use of matt film for this vote?,0.162,0.739,0.099,-0.4215,Negative
"Who has seen Mat Kilau that many times? Look at it once , you're sick of looking at it again . Focus on other movies . Go to National Geographic , can you know that the world is wide , it's not just Malays who sit in the world",0.071,0.929,0,-0.5106,Negative
t,0,0,0,0,Neutral
"Next time watching the movie once is enough . The 3-4 times you look at that Mat Kilau , it's really a shot to your brain , even your brother's brother is dizzy , BN is falling , and you're getting dizzy",0.141,0.859,0,-0.5267,Negative
"I saw a tiktok saying ""those who voted for ph can watch the movie again with Mat Kilau coat"" BRO THAT MOVIE WAS NOT EVEN CLOSE TO BE HISTORICALLY ACCURATE",0,1,0,0,Neutral
Suddenly I feel like blaming Syamsul Yusof for the direction of the movie Mat Kilau when I see Tiktok of a young boy about May 13,0.12,0.787,0.094,-0.1779,Negative
"""watch it Mat Kilau many times"" joke on you I despise the movie with my whole heart bc the lack of proper planning , know to attack and want to fight but it seems that's how Malay",0.185,0.745,0.071,-0.5346,Negative
What's so incriminating in Mat Kilau movie pls can someone let me know? I couldn't stop watching for 15 minutes,0,0.842,0.158,0.2933,Positive
"guys , I'm sorry , sis , I don't understand because I haven't seen it yet",0.115,0.885,0,-0.0772,Negative
"But there is a movie reviewer who supports Mat Kilau and then gets angry when people dispute his judgment , he has another backup ready",0.239,0.567,0.194,-0.3612,Negative
"yes , pn supporters at ws , the status of all the quotes doesn't run out , it's the movie historically",0,0.741,0.259,0.6808,Positive
"And to those who use mat kilau movie as a good example , yall should really learn history with books , not",0,0.861,0.139,0.4404,Positive
I don't know if you watch the movie Mat Kilau and you become Malay . You are stupid because the movie is full of distorted facts . Just fiction . It's time for your History class,0.169,0.831,0,-0.7269,Negative
There is government intervention here . How bad it is . Mat Kilau and those movies alike please get banned . X brings benefits brings disadvantages,0.296,0.547,0.158,-0.6486,Negative
"Regardless , it's true that the Mat Kilau movie causes more harm . Many videos mention Mat Kilau . If those kind of movie is not banned and something is not done to promote fascist , it is dangerous . He won't be now but the impact will be seen many years down the line",0.149,0.786,0.065,-0.5717,Negative
"Now . . . . Movie ""MAT KILAU"" WAS ONE OF",0,1,0,0,Neutral
"I'm done with the Mat Kilau , it looks like you know that because it's in the movie , right? It's not wrong , that's not what you can say . there are many more Malay figures who fought for the Malay nation . ",0.053,0.83,0.117,0.4125,Positive
who can believe that this Mat Kilau movie is 100% correct,0,1,0,0,Neutral
Faham that this has always been an underlying problem among Malays but i still choose to be a mat kilau movie,0.093,0.907,0,-0.2144,Negative
I will always,0,1,0,0,Neutral
So this tiktok boy is apparently influenced by the movie Mat Kilau?,0,1,0,0,Neutral
mat kilau not to the british opponent? I watched the wrong movie,0.237,0.763,0,-0.4767,Negative
There is also a negative side to this movie mat,0.316,0.684,0,-0.5719,Negative
"All those tiktok videos that are funny mention the movie Mat Kilau . Not the character , but the movie . Now tell me that movie wasn't an effective propaganda piece . PN should give Syamsul Yusuf some sort of",0.082,0.817,0.101,-0.0698,Negative
"Kann . It really isn't just a movie . Yeee crazy gullible . I just looked at the Mat Kilau , suddenly I'm only Malay . Their eyes . Brain",0.197,0.803,0,-0.5994,Negative
The movie mat kilau bangang is a reference . Unlucky,0,1,0,0,Neutral
"In my opinion , Mat kilau makes a story that catalyzes the spirit of warriors , Le . If it is the catalyst of the nation , aduuuu . Struggle alone . In fact , a movie should not be made to awaken children's souls",0.11,0.846,0.044,-0.3818,Negative
Didn't noe that patrotic movie like Mat Kilau diorang took it,0,0.8,0.2,0.3612,Positive
M,0,0,0,0,Neutral
"It's normal that the Malays are weak like that , the Chinese are all doing nothing , they're swaying . . . even lost their luster . . . people watch historical movies to learn lessons , improve and improve , not slander the nation",0.12,0.69,0.191,0.4767,Positive
and the,0,1,0,0,Neutral
Movie Mat Kilau,0,1,0,0,Neutral
"Yesza depa forget this is the age of the internet . The age of socmed is not the age of newspapers . Things are very easy to spread and people believe . It's true that there are good people , but it's a big mistake to show hatred towards this Malay landlord . The movie Mat Kilau is still hot . Earned",0.159,0.75,0.091,-0.7509,Negative
"History has proven the fall of the Malay land because there is no unity among us , some defected but unfortunately we never want to learn from our nation's old mistakes . Watched the Mat Kilau movie many times but didn't learn the lesson . It's hard , isn't it?",0.241,0.759,0,-0.8668,Negative
Haha . I'm sorry I didn't see the Mat Kilau many times because I can't understand from the book,0.071,0.765,0.164,0.4019,Positive
"When I saw the movie Mat Kilau , I wanted to be a hero just like the people in the 2Pac song wanted to be gangsters . ",0,0.766,0.234,0.7269,Positive
It's a waste of time for UMNO to make a movie,0.259,0.741,0,-0.4215,Negative
PN played racial cards more lmao . Mat Kilau's fight apparently that no one knows until the movie came out . Then the fear they instilled on Chinese . And then what attacking Christians in a talk? Could Muuhi be anymore,0.226,0.638,0.136,-0.5279,Negative
Same energy like kelantan PAS endorsing Mat Kilau movie (which is an islamofascist propaganda by isma) and tells them to go watch it as much as you can! But there is no fckig cinema in Kelantan at all! Oh the hypocrisy Only endorse entertainment that advances their agendas,0.076,0.739,0.185,0.7379,Positive
There are a lot of tiktok videos,0,1,0,0,Neutral
Do you think that China is a colonialist who is arguing about Mat Kilau movies? I don't understand what it has to do with our issue now,0.111,0.889,0,-0.4588,Negative
fuck this country . can't make films like we want . we are gonna resort to making films like mat kilau and other military propaganda,0.335,0.62,0.045,-0.8136,Negative
i,0,0,0,0,Neutral
Crying over Mat kilau and visiting the Hang Tuah museum but then forget to practice the pure values in that movie . Islam teaches us to respect human right to respect the others . Respect another religions first before they respect yours . Same goes with the racism,0.15,0.551,0.3,0.9022,Positive
if i see another,0,1,0,0,Neutral
The way tiktok PN people relating politics with history subject and Mat Kilau,0,1,0,0,Neutral
The way tiktok PN people relating politics with history subject and Mat Kilau,0,1,0,0,Neutral
"Since PAS has majority seats I highly doubt that they'll just be any minister . Obviously this Hadi wants to be . Imagine . . . No more night clubs , no more concerts , no more Hollywood movies since everything has lgbt la atheism la this la that la . The watch is Mat Kilau and Mat Kilau",0.177,0.823,0,-0.8368,Negative
They are not mature enough to think . It's just that they know how hard it is to fight movies . I don't want to be Malay,0.274,0.726,0,-0.6761,Negative
"I saw ""Mat Kilau"" movie as a horse in Chess game in this political movement . It is indeed a rally of some Malays . How much the spirit of ""Malaysianism and Islam"" is prioritized . And only show that other than Malays are enemies . Which it",0.073,0.888,0.039,-0.3612,Negative
"then it doesn't run out until the Mat Kilau movie is finished . It's not the best , there's nothing to do with it",0.138,0.862,0,-0.5216,Negative
"Gsc , tgv all here close now Just look at the Mat Kilau every 2 months In Kelantan , it's like that . When there's an event , just watch the movie and you have to die",0.107,0.824,0.069,-0.34,Negative
"Be honest ""Mat Kilau"" movie success was a mistake that PH failed to recognize . Being haunted by life like Hang Tuah , When we who refuse are labeled",0.278,0.481,0.241,-0.128,Negative
People quoting that English man from Mat Kilau movie for whatever is happening right now makes me,0,1,0,0,Neutral
"""Mat Kilau"" movie Like a large Boulder swing",0,0.706,0.294,0.3612,Positive
A special thanks to Mat Kilau as well . That movie did wonders to,0,0.539,0.461,0.7717,Positive
"Don't say you just enjoy looking at the Mat Kilau but don't take any notice . Such a waste of time and money . When the time comes , you can put into practice what was said in the Mat Kilau film , but it is not put into practice . Why?",0.074,0.884,0.042,-0.3818,Negative
"My aunt wants to say that she is not Muslim but she wears a hijab , she wants to say that she is full but she is old , remember , auntie , don't be a traitor to your own religion , when you watch the movie , you will feel the identity of the Malay nation until you see it in the movie , when you are 15 all done",0,1,0,0,Neutral
